"","ï..Date","Code","Sp_C","Sp_L","Type","Age","Sex","Wing","Weight"
"157","23/04/2011","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"M",61,8.2
"158","23/04/2011","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"M",62,7.8
"159","26/06/2011","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"",61,7.7
"160","07/08/2011","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"F",54,7.1
"161","14/07/2012","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"F",54,6.8
"162","12/05/2013","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"M",64,8.6
"163","20/06/2014","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"F",61,8.4
"164","23/05/2015","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"",68,8.6
"165","23/05/2015","CHIFF","Chiffchaff","Phylloscopus collybita","N",4,"M",64,7.8
